Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Commute,Activity Gear,Filename,Elapsed Time2,Moving Time,Distance3,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Watts,Calories,Perceived Exertion,Perceived Relative Effort,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone
int,string,string,string,int,float,bool,string,string,int,int,float,float,float,float,float,float,float,float,float,float,float,int,int,int,float,int,int,float,float,float,float,float,float,float,int,float,int,int,float,float,int,float,int,int,float
2367240957,"14 May 2019, 15:41:26",Moor from Home,Ride,4581,23.84,FALSE,Roscoe 8,activities/2367240957.gpx,,4512,23847.5,12.89999962,,409.4336243,410.0339966,104.0999985,430,18.10000038,-0.002515987,177.3782959,892.3674316,,,,,,,,,,,,,,,,,,,,,,,,
2375191938,"17 May 2019, 15:51:31",Moor from home,Ride,4611,23.82,FALSE,Roscoe 8,activities/2375191938.gpx,,4571,23820.40039,13.10000038,,409.5773926,410.0769958,104.0999985,430,17.89999962,-0.002099041,171.7429962,875.3165283,,,,,,,,,,,,,,,,,,,,,,,,
2380086266,"19 May 2019, 11:34:36",Moor from home,Ride,4627,23.83,FALSE,Roscoe 8,activities/2380086266.gpx,,4500,23832,13.10000038,,409.4593506,409.8590088,104.0999985,430,16.89999962,-0.001678416,177.1512909,888.8551636,,,,,,,,,,,,,,,,,,,,,,,,
2409301247,"30 May 2019, 09:18:04",Morning Ride,Ride,17579,35.14,FALSE,Roscoe 8,activities/2409301247.gpx,,12983,35141.19922,12.69999981,,819.8484497,,122.4000015,345.3999939,26.70000076,0.235620871,94.38206482,1366.279053,,,,,,,,,,,,,,,,,,,,,,,,
2409307477,"30 May 2019, 14:41:16",Return from Gisburn,Ride,2100,12.87,FALSE,Roscoe 8,,,2100,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2425953163,"5 Jun 2019, 15:24:21",Afternoon Ride,Ride,4616,23.82,FALSE,Roscoe 8,activities/2425953163.gpx,,4578,23821.59961,12.80000019,,409.5515747,409.9519958,104.0999985,430,17.79999924,-0.001679148,168.7528687,861.3946533,,,,,,,,,,,,,,,,,,,,,,,,
2473808159,"23 Jun 2019, 11:46:43",Lunch Ride,Ride,2360,12.96,FALSE,Roscoe 8,activities/2473808159.gpx,2360,2296,12961,14.19999981,,158.0365295,,122.4000015,264.3999939,11,-0.655813575,154.7349701,396.1277161,,,,,,,,,,,,,,,,,,,,,,,,
2473808379,"23 Jun 2019, 10:19:53",Fuck bearings ,Ride,5022,20.34,FALSE,Roscoe 8,activities/2473808379.gpx,5022,4587,20348.69922,15.30000019,,395.9366455,,122.4000015,267,14.19999981,0.401499838,147.0285339,751.9782104,,,,,,,,,,,,,,,,,,,,,,,,
2506201474,"5 Jul 2019, 11:58:44",Lunch Ride,Ride,6676,24.03,FALSE,Roscoe 8,activities/2506201474.gpx,6676,5488,24033.5,14.39999962,,344.779541,,122.4000015,345.3999939,23.89999962,-0.682796955,126.9994278,777.1247559,,,,,,,,,,,,,,,,,,,,,,,,
2506201509,"5 Jul 2019, 09:34:06",Morning Ride,Ride,8210,24.56,FALSE,Roscoe 8,activities/2506201509.gpx,8210,6682,24563.90039,13.39999962,,531.1312256,,122.4000015,311.7000122,21.70000076,0.646070063,123.9562531,923.5274048,,,,,,,,,,,,,,,,,,,,,,,,
2531224643,"14 Jul 2019, 08:49:31",Missed the train,Ride,12819,42.08,FALSE,Roscoe 8,activities/2531224643.gpx,12819,11421,42084,15.89999962,,792.1300659,,112.6999969,436.2999878,22.39999962,0,116.7270508,1486.450684,,,,,,,,,,,,,,,,,,,,,,,,
2550741870,"21 Jul 2019, 08:34:48",Gisburn,Ride,15228,45.08,FALSE,Roscoe 8,activities/2550741870.gpx,15228,11611,45084.5,13.69999981,,894.1694946,,122.4000015,345.3999939,22.10000038,-0.004879726,126.9843063,1643.972534,,,,,,,,,,,,,,,,,,,,,,,,
2595497380,"6 Aug 2019, 11:05:29",Resin > Sintered,Ride,5212,23.8,FALSE,Roscoe 8,activities/2595497380.gpx,5212,5007,23807.5,13.5,,409.5301514,410.0299988,104.0999985,430,16.89999962,-0.002100179,153.7976074,858.6242676,,,,,,,,,,,,,,,,,,,,,,,,
2610523136,"11 Aug 2019, 15:19:57",Walkers > open gate,Ride,5451,23.81,FALSE,Roscoe 8,activities/2610523136.gpx,5451,5232,23816.59961,11.80000019,,409.598999,410.098999,104.0999985,430,17.70000076,-0.002099376,142.8605957,833.4053345,,,,,,,,,,,,,,,,,,,,,,,,
2626903276,"17 Aug 2019, 13:10:17",Afternoon Ride,Ride,5202,23.81,FALSE,Roscoe 8,activities/2626903276.gpx,5202,5076,23813.30078,12.5,,409.4373474,409.9370117,104.0999985,430,18.10000038,-0.002099667,145.9275665,825.9145508,,,,,,,,,,,,,,,,,,,,,,,,
2635845518,"20 Aug 2019, 12:10:51",Afternoon Ride,Ride,17746,42.11,FALSE,Roscoe 8,activities/2635845518.gpx,17746,11703,42114.80078,13.89999962,,704.2525024,,38.59999847,452,27.5,-0.037279055,115.2296295,1503.613647,,,,,,,,,,,,,,,,,,,,,,,,
2647196777,"24 Aug 2019, 09:25:31",Morning Ride,Ride,18966,50.25,FALSE,Roscoe 8,activities/2647196777.gpx,18966,15457,50253.69922,13.80000019,,1164.113159,,139,521.0999756,26.29999924,0.00019899,110.8036575,1909.651733,,,,,,,,,,,,,,,,,,,,,,,,
2687870348,"7 Sep 2019, 08:53:38",Clapham to Dentdale,Ride,23886,55.85,FALSE,Roscoe 8,activities/2687870348.gpx,23886,18682,55853.69922,15,,1458.32019,,129.6000061,539.5,25,0.321912438,109.1875916,2274.424561,,,,,,,,,,,,,,,,,,,,,,,,
2727785769,"21 Sep 2019, 08:17:45",Gisburn 2 Laps,Ride,21124,62.68,FALSE,Roscoe 8,activities/2727785769.gpx,21124,17222,62683.10156,14.30000019,,1188.635132,,122.4000015,346,19.70000076,-0.003190653,117.7091064,2260.312744,7,550,,,,,,,,,,,,,,,,,,,,,,
2803798380,"20 Oct 2019, 09:18:48",Horton to Bainbridge and back,Ride,21171,62.7,FALSE,Roscoe 8,activities/2803798380.gpx,21171,17799,62703.89844,16.29999924,,1296.421875,,213.8999939,588.9000244,22.70000076,0.000797399,115.6698837,2295.571289,,,,,,,,,,,,,,,,,,,,,,,,
2821175886,"27 Oct 2019, 09:34:07",Gisburn,Ride,14860,47.48,FALSE,Roscoe 8,activities/2821175886.gpx,14860,12958,47487.80078,14.89999962,,906.5914917,,122.4000015,346,19.39999962,-0.005685671,113.3502426,1637.703613,,,,,,,,,,,,,,,,,,,,,,,,
3220621471,"26 Mar 2020, 15:11:41",Lockdown cycle #1,Ride,5976,20.31,FALSE,Roscoe 8,activities/3220621471.gpx,5976,5076,20316.30078,11.60000038,4.002423286,393.541687,393.5419922,138.8000031,430.3999939,32.79999924,0,157.4849091,891.3241577,4,56,1,,1585234816,1,11.93000031,11.93000031,-0.029999999,0.439999998,1025.699951,2.769999981,4.300000191,86,0,1585202048,1585247616,0.07,0,,0,16093,2,356.6000061
3253214169,"4 Apr 2020, 10:22:17",Lockdown cycle #2,Ride,5131,20.31,FALSE,Roscoe 8,activities/3253214169.gpx,5131,4836,20314.30078,12.89999962,4.200641155,393.8529358,393.8529968,138.8000031,430.3999939,33,0,156.5774231,844.2850952,5,87,1,,1585994368,3,8.869999886,6.349999905,4.46999979,0.74000001,1018.099976,4.590000153,8.5,213,0,1585978368,1586026240,0.370000005,0,,0.889999986,16093,2,306.2000122
3275095009,"9 Apr 2020, 11:06:00",Lockdown cycle #3,Ride,4885,20.26,FALSE,Roscoe 8,activities/3275095009.gpx,4885,4643,20266,11.60000038,4.364850521,392.7217407,392.7219849,138.8000031,430.3999939,32.5,0,163.1079254,844.401123,5,83,1,,1586429952,3,11.64999962,11.64999962,8.020000458,0.779999971,1027.900024,4.150000095,5.480000019,71,0,1586409600,1586458752,0.569999993,0,,1,16093,3,316.7999878
3289750562,"12 Apr 2020, 14:19:51",Lockdown cycle #4,Ride,4370,20.25,FALSE,Roscoe 8,activities/3289750562.gpx,4370,4287,20251.40039,11.10000038,4.723909378,365.2428894,365.2430115,139.3000031,430.6000061,23.29999924,0,171.308136,818.8530884,6,113,1,,1586700032,3,14.36999989,14.36999989,8.899999619,0.699999988,1014,5.28000021,5.829999924,58,0,1586668416,1586718336,0.680000007,0,,1,16093,2,352.7999878
3297245993,"14 Apr 2020, 10:59:42",Lockdown cycle #5,Ride,4168,19.6,FALSE,Roscoe 8,activities/3297245993.gpx,4168,3979,19600.59961,12.5,4.926011562,348.7557068,348.756012,139.3000031,430.6000061,22.70000076,0,168.2673798,746.5308228,8,171,1,,1586858368,1,7.019999981,5.039999962,0.050000001,0.610000014,1029.5,2.839999914,4.119999886,269,0,1586840960,1586891392,0.75,0,,0.02,16093,4,319.7000122
3311455980,"17 Apr 2020, 11:52:11",Lockdown cycle #6,Ride,4522,20.21,FALSE,Roscoe 8,activities/3311455980.gpx,4522,4425,20216.69922,12.10000038,4.568745613,365.3460693,365.3460083,139.3000031,430.6000061,26,0,168.156189,829.6607056,5,79,1,,1587121152,2,10.36999989,10.36999989,4.429999828,0.670000017,1020.900024,7.039999962,9.479999542,85,0,1587099776,1587150848,0.839999974,0,,0.709999979,16093,3,357.6000061
3345084880,"24 Apr 2020, 10:00:13",RIP Tyre,Ride,3010,11.85,FALSE,Roscoe 8,activities/3345084880.gpx,3010,2957,11850,11,4.00744009,328.3118286,192.6119995,139.3000031,430.6000061,22.60000038,1.145147681,181.3735962,598.000061,5,53,1,,1587722368,1,12.97999954,12.97999954,2.869999886,0.5,1018.099976,2.380000114,2.900000095,88,0,1587703552,1587756544,0.050000001,0,,0.230000004,16093,4,340.6000061
3406734831,"6 May 2020, 10:27:16",Lockdown cycle #7,Ride,4347,20.3,FALSE,Roscoe 8,activities/3406734831.gpx,4347,4259,20302.19922,12.10000038,4.766893864,365.2849426,365.2850037,139.3000031,430.6000061,22.89999962,0,166.0498199,788.5357666,6,112,1,,1588759168,1,9.68999958,8.06000042,1.649999976,0.569999993,1028,3.130000114,3.180000067,126,0,1588738944,1588794624,0.479999989,0,,0.239999995,16093,4,341.5
3418131816,"8 May 2020, 10:38:53",Lockdown cycle #8,Ride,4037,20.24,FALSE,Roscoe 8,activities/3418131816.gpx,4037,3999,20239.69922,13.10000038,5.061190128,365.2975464,365.2980042,139.3000031,430.6000061,23.89999962,0,175.0097809,780.3494873,8,172,1,,1588931968,3,15.93000031,15.93000031,9.630000114,0.660000026,1018.5,2.700000048,3.890000105,269,0,1588911488,1588967680,0.550000012,0,,0.99000001,16093,3,366.8999939
3444839539,"13 May 2020, 14:02:22",Lockdown cycle #9,Ride,4208,20.28,FALSE,Roscoe 8,activities/3444839539.gpx,4208,4134,20281.09961,12.5,4.905926228,365.2652588,365.3649902,139.3000031,430.6000061,23.29999924,-0.00049307,173.363327,799.1011353,7,132,1,,1589378432,3,9.079999924,6.369999886,-0.330000013,0.519999981,1021,5.199999809,6.710000038,43,0,1589342976,1589400064,0.730000019,0,,0.939999998,16093,3,365.1000061
3482665998,"20 May 2020, 10:30:49",Lunch Ride,Ride,15745,50.39,FALSE,Roscoe 8,activities/3482665998.gpx,15745,13015,50389.69922,13.89999962,3.87166357,1119.457764,1119.459961,108.4000015,432.3999939,25.5,0,154.9083099,2247.982178,9,650,1,,1589968768,3,19.19000053,19.19000053,13.36999989,0.689999998,1021.099976,2.980000019,4.650000095,178,0,1589947136,1590005632,0.939999998,0,,0.959999979,16093,3,331.7999878
3617856862,"15 Jun 2020, 10:06:44",Lunch Ride,Ride,4525,20.25,FALSE,Roscoe 8,activities/3617856862.gpx,4525,4413,20249.90039,12.69999981,4.588692665,385.9415283,385.9419861,139.1000061,432.3999939,27.10000038,0,172.4187012,848.3868408,4,49,1,,1592215168,3,18.20999908,18.25,15.19999981,0.829999983,1016.900024,1.799999952,1.799999952,108,0,1592192256,1592253824,0.829999983,0,,0.99000001,16093,3,326.1000061
3740587242,"10 Jul 2020, 10:01:41",Lunch Ride,Ride,5459,20.37,FALSE,Roscoe 8,activities/3740587242.gpx,5459,4949,20377.5,14.39999962,4.117498398,386.0143738,386.0140076,139.1000061,432.3999939,21.70000076,0,130.3326416,719.1950684,5,89,1,,1594375168,2,14.43000031,14.43000031,8.829999924,0.689999998,1016.099976,4.579999924,6.489999771,304,0,1594353024,1594413440,0.680000007,0,,0.529999971,15914,4,369.1000061
3786590191,"19 Jul 2020, 16:02:40",Afternoon Ride,Ride,667,3.82,FALSE,Roscoe 8,activities/3786590191.gpx,667,661,3820.5,12.19999981,5.779879093,57.67325592,57.6733017,139.1000061,191,9.899999619,0,183.100769,134.9481812,7,21,1,,1595174400,3,14.47000027,14.47000027,8.18999958,0.660000026,1020.299988,5.730000019,7.519999981,295,0,1595131392,1595190528,0.970000029,0,,0.980000019,16093,2,352.7000122
3789522511,"20 Jul 2020, 09:43:20",Morning Ride,Ride,2160,9.32,FALSE,Roscoe 8,activities/3789522511.gpx,2160,1827,9319.599609,13.39999962,5.101039886,198.8186493,198.8190002,139.1000061,313.5,23.10000038,0,178.2980957,363.2117615,,,1,,1595235584,1,13.69999981,13.69999981,8.18999958,0.689999998,1023.5,4.550000191,6.46999979,291,0,1595217792,1595276800,0,0,,0.270000011,16093,3,336.3999939
3807508512,"24 Jul 2020, 09:30:39",Morning Ride,Ride,5509,29.66,FALSE,Carrera Zelos,activities/3807508512.gpx,5509,5078,29663.09961,17.20000076,5.841492653,520.715271,520.7150269,138.8999939,313.6000061,22.39999962,0,124.7946014,706.5855713,4,56,1,,1595581184,2,13.56000042,13.56000042,12.14000034,0.910000026,1012,2.549999952,2.690000057,262,0,1595563904,1595622016,0.150000006,0,,0.800000012,16093,3,326.2000122
3857724743,"3 Aug 2020, 08:23:07",Morning Ride,Ride,13246,62.32,FALSE,Roscoe 8,activities/3857724743.gpx,13246,11839,62324.60156,16,5.2643466,1181.710449,1181.709961,138.8999939,417.8999939,24.29999924,0,177.1309814,2338.215088,7,378,1,,1596441600,1,13.30000019,13.30000019,8.699999809,0.74000001,1016.5,2.529999971,2.640000105,279,0,1596428800,1596484992,0.50999999,0,,0.150000006,16093,2,335.6000061
3935151851,"19 Aug 2020, 09:49:20",Morning Ride,Ride,4505,20.27,FALSE,Roscoe 8,activities/3935151851.gpx,4505,4434,20270.59961,12.19999981,4.571628094,386.2080078,386.2080078,139.1000061,432.3999939,21.70000076,0,168.4438629,832.7719727,5,80,1,,1597827584,3,17.90999985,18.12999916,16.39999962,0.910000026,1004.5,2.539999962,4.230000019,115,0,1597812992,1597865344,0.029999999,0,,0.939999998,16093,2,301.1000061
3994756368,"1 Sep 2020, 08:15:27",Morning Ride,Ride,1263,4.51,FALSE,Carrera Zelos,activities/3994756368.gpx,1263,938,4515.700195,12.5,4.814178944,59.83029175,59.83029938,139.1000061,192.3999939,10.5,0,110.7958908,115.878212,,,1,,1598947200,2,11.65999985,11.65999985,8.960000038,0.829999983,1021.200012,1.279999971,2.25999999,161,0,1598937600,1598986752,0.49000001,0,,0.330000013,16093,1,303.5
4006364709,"3 Sep 2020, 15:25:13",Afternoon Ride,Ride,5629,35.06,FALSE,Carrera Zelos,activities/4006364709.gpx,5629,5511,35064.10156,13.5,6.362565994,526.5841675,526.5839844,108,220.1999969,15.69999981,0,125.9447403,773.9024048,5,99,1,,1599145216,2,15.25,15.25,12.77000046,0.850000024,1011.5,8.819999695,13.64000034,258,0,1599110528,1599159296,0.550000012,0,,0.75999999,16093,2,300
4034421063,"9 Sep 2020, 08:20:52",Morning Ride,Ride,16053,80.85,FALSE,Carrera Zelos,activities/4034421063.gpx,16053,14841,80858.29688,15,5.448305607,1343.095459,1343.099976,108,446.7000122,30.89999962,0,109.9030304,1818.643555,7,474,1,,1599638400,2,13.28999996,13.28999996,10.43999958,0.829999983,1021.299988,5.25,9.479999542,272,0,1599629568,1599676800,0.730000019,0,,0.50999999,16093,1,281
4076824388,"18 Sep 2020, 09:07:40",Morning Ride,Ride,4759,20.26,FALSE,Roscoe 8,activities/4076824388.gpx,4759,4594,20259.40039,12.69999981,4.40996933,385.9837646,385.9840088,139.1000061,432.3999939,24,0,160.7438354,823.3806152,4,51,1,,1600419584,2,10.14000034,10.14000034,9.510000229,0.959999979,1028.699951,4.71999979,7.710000038,72,0,1600408192,1600453120,0.050000001,0,,0.379999995,16093,2,270.2000122
4123302680,"28 Sep 2020, 10:44:13",Lunch Ride,Ride,5290,25.7,FALSE,Carrera Zelos,activities/4123302680.gpx,5290,4844,25706.30078,16.39999962,5.306833267,376.9440918,377.743988,8,161.6000061,25.5,-0.003112077,109.2582703,590.1104736,4,53,1,,1601287168,2,11.71000004,11.71000004,8.829999924,0.829999983,1014.400024,2.50999999,5.889999866,247,0,1601273344,1601315712,0.409999996,0,,0.389999986,16093,2,274.2999878
4159456688,"6 Oct 2020, 16:45:28",First Strava run,Run,1086,3.34,FALSE,,activities/4159456688.gpx,1086,1070,3346.899902,5.099999905,3.127943993,31.99063492,23.3906002,76.40000153,96.19999695,11.89999962,0.256954193,,267.446228,7,34,1,3403.399902,1602000000,3,13.35999966,13.35999966,10.56999969,0.829999983,999.2999878,8.170000076,14.36999989,252,0,1601965312,1602005888,0.649999976,0,,0.939999998,16093,0,296.2999878
4167156186,"8 Oct 2020, 10:17:21",Lunch Ride,Ride,5308,25.89,FALSE,Carrera Zelos,activities/4167156186.gpx,5308,4900,25894,14.5,5.284489632,415.7089844,415.7090149,31.29999924,149.1999969,29.89999962,0,114.5815277,626.0161743,4,54,1,,1602151168,3,15.68000031,15.68000031,13.35999966,0.860000014,1009.599976,6.150000095,10.22000027,169,0,1602138240,1602178432,0.709999979,0,,1,16093,2,264.2999878
